verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
FALSE,Donald Trump,"Untaxed corporate earnings used to be ""$2.5 trillion … I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",7/25/2017,news,Manuela Tobias,8/3/2017,https://www.politifact.com/factchecks/2017/aug/03/donald-trump/are-there-over-4-trillion-untaxed-corporate-earnin/
FALSE,Donald Trump,"""I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.""",8/15/2016,speech,Louis Jacobson,8/16/2016,https://www.politifact.com/factchecks/2016/aug/16/donald-trump/donald-trump-mischaracterizes-nato-change-and-his-/
pants-fire,Donald Trump,"The federal government is sending refugees to states with governors who are ""Republicans, not to the Democrats.""",11/17/2015,radio,Louis Jacobson,11/18/2015,https://www.politifact.com/factchecks/2015/nov/18/donald-trump/donald-trump-says-obama-administration-pushing-ref/
TRUE,Barack Obama,The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,5/10/2011,speech,Robert Farley,5/11/2011,https://www.politifact.com/factchecks/2011/may/11/barack-obama/obama-says-deportation-criminals-70-percent-under-/
half-true,Barack Obama,"""For the first time in 13 years, our dependence on foreign oil is below 50 percent.""",1/18/2012,campaign,Stephen Koff,1/26/2012,https://www.politifact.com/factchecks/2012/jan/26/barack-obama/barack-obama-campaign-says-us-dependence-foreign-o/
pants-fire,Donald Trump,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",11/15/2019,social_media,Amy Sherman,11/15/2019,https://www.politifact.com/factchecks/2019/nov/15/donald-trump/trump-inaccurately-disparages-yovanovitch-somalia-/
FALSE,Mike Pence,"Joe Biden's cancellation of the Keystone pipeline ""dramatically increased Americans' dependence on Russian oil.""",3/7/2022,advertisement,Tom Kertscher,3/11/2022,https://www.politifact.com/factchecks/2022/mar/11/mike-pence/mike-pences-group-falsely-blames-bidens-nixing-key/
mostly-false,Ted Cruz,"Donald Trump has ""described Hillary Clinton as one of the best secretaries of state in history.""",2/28/2016,television,Dylan Baddour,3/8/2016,https://www.politifact.com/factchecks/2016/mar/08/ted-cruz/ted-cruz-donald-trump-hillary-clinton-best-secreta/
TRUE,Barack Obama,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",5/27/2008,campaign,Adriel Bettelheim,6/2/2008,https://www.politifact.com/factchecks/2008/jun/02/barack-obama/present-for-votes-but-not-a-player/
pants-fire,Donald Trump,"""Rogue"" Michigan official sent absentee ballots to 7.7 million people ""illegally and without authorization"" ahead of the primaries and general election.",5/20/2020,social_media,Amy Sherman,5/20/2020,https://www.politifact.com/factchecks/2020/may/20/donald-trump/trump-falsely-claims-michigan-sent-ballots-all-vot/
FALSE,Mike Pence,"""In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.""",6/15/2020,speech,Louis Jacobson,6/16/2020,https://www.politifact.com/factchecks/2020/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/
mostly-false,Donald Trump,"""The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working.""",2/5/2018,social_media,Mica Soellner,2/8/2018,https://www.politifact.com/factchecks/2018/feb/08/donald-trump/donald-trump-wrongly-suggests-british-dont-love-th/
pants-fire,Donald Trump,"""The Failing @nytimes quotes ‘a senior White House official,’ who doesn’t exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.’ WRONG AGAIN! Use real people, not phony sources.""",5/26/2018,social_media,Louis Jacobson,5/29/2018,https://www.politifact.com/factchecks/2018/may/29/donald-trump/donald-trump-said-ny-times-source-didnt-exist-he-d/
half-true,Bernie Sanders,"""There are tens of thousands of homes right here in California where you turn on the faucet but you can't drink the water.""",6/1/2016,news,C. Eugene Emery Jr.,6/14/2016,https://www.politifact.com/factchecks/2016/jun/14/bernie-sanders/lack-reliable-tally-epa-california-hinder-bernie-s/
TRUE,Marco Rubio,"""Just this week we received the news that for the first time Social Security is now paying out more in benefits than it's taking in. That was something that was supposed to happen in 2016.""",3/28/2010,news,Catharine Richert,3/28/2010,https://www.politifact.com/factchecks/2010/mar/28/marco-rubio/rubio-claims-social-security-upside-down-sooner-ex/
FALSE,Elizabeth Warren,"""We have an America where … hard-working families have flat wages.""",2/5/2020,television,Louis Jacobson,2/6/2020,https://www.politifact.com/factchecks/2020/feb/06/elizabeth-warren/elizabeth-warren-wrong-wages-are-flat/
TRUE,Barack Obama,"""Hillary Clinton has taken over $800,000 from lobbyists.""",4/17/2008,advertisement,Angie Drobnic Holan,4/17/2008,https://www.politifact.com/factchecks/2008/apr/17/barack-obama/clinton-accepts-lobbyist-money/
FALSE,Donald Trump,"""When I became president, President Obama had a separation policy. I didn’t have it. He had it.""",6/20/2019,news,Miriam Valverde,6/21/2019,https://www.politifact.com/factchecks/2019/jun/21/donald-trump/donald-trump-again-falsely-says-obama-had-family-s/
half-true,Lindsey Graham,"Under sequestration, the military was cut ""down to the smallest Army since 1940, the smallest Navy since 1915.""",10/5/2014,television,Lauren Carroll,10/5/2014,https://www.politifact.com/factchecks/2014/oct/05/lindsey-graham/lindsey-graham-army-smallest-1940-navy-smallest-19/
FALSE,Donald Trump,"Says after Hillary Clinton helped a man accused of raping a 12-year-old, ""she's seen laughing on two separate occasions, laughing at the girl who was raped.""",10/9/2016,speech,C. Eugene Emery Jr.,10/10/2016,https://www.politifact.com/factchecks/2016/oct/10/donald-trump/trump-says-clinton-laughed-about-rape-case/
mostly-false,Donald Trump,"""Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.""",10/28/2020,advertisement,Amy Sherman,11/1/2020,https://www.politifact.com/factchecks/2020/nov/01/donald-trump/trumps-misleading-attack-bidens-health-care-plan/
mostly-false,Donald Trump,"Video shows Joe Biden saying ""we can only re-elect Donald Trump.""",3/7/2020,social_media,Amy Sherman,3/9/2020,https://www.politifact.com/factchecks/2020/mar/09/donald-trump/video-shared-trump-omits-full-context-bidens-comme/
half-true,Joe Biden,"""For four years, I was a full professor at the University of Pennsylvania.""",4/14/2022,speech,Louis Jacobson,4/22/2022,https://www.politifact.com/factchecks/2022/apr/22/joe-biden/fact-checking-joe-biden-being-full-professor-four-/
half-true,Bernie Sanders,"Says Senate deliberations on the Affordable Care Act in 2009 and 2010 included hundreds of hours of debate and more than 100 Republican amendments, compared with zero for the American Health Care Act this year.",6/13/2017,social_media,Louis Jacobson,6/14/2017,https://www.politifact.com/factchecks/2017/jun/14/bernie-sanders/bernie-sanders-tweet-exaggerates-lack-input-senate/
half-true,Barack Obama,"Says his budget plan ""would cut our deficits by $4 trillion.""",9/6/2012,speech,Jon Greenberg,9/7/2012,https://www.politifact.com/factchecks/2012/sep/07/barack-obama/obama-says-budget-plan-cut-deficits-4-trillion/
pants-fire,Donald Trump,"""No candidate has ever won both Florida and Ohio and lost.""",12/9/2020,social_media,Amy Sherman,12/10/2020,https://www.politifact.com/factchecks/2020/dec/10/donald-trump/trump-said-no-candidate-has-won-florida-and-ohio-a/
mostly-false,Mitch McConnell,"""The president’s own advisers have said there’s a war on coal.""",9/18/2013,campaign,Jon Greenberg,9/23/2013,https://www.politifact.com/factchecks/2013/sep/23/mitch-mcconnell/mcconnell-links-obama-war-coal/
TRUE,Bill Clinton,"""Since 1961 … our private economy has produced 66 million private-sector jobs. So what's the jobs score? Republicans 24 million, Democrats 42 (million).""",9/5/2012,speech,Louis Jacobson,9/6/2012,https://www.politifact.com/factchecks/2012/sep/06/bill-clinton/bill-clinton-says-democratic-presidents-top-republ/
mostly-true,Joe Biden,"""More cops have died from COVID this year than have been killed on patrol.""",8/31/2020,speech,Jon Greenberg,9/2/2020,https://www.politifact.com/factchecks/2020/sep/02/joe-biden/has-covid-19-killed-more-cops-all-other-causes/
half-true,Barack Obama,"""My judicial nominees have waited three times longer to receive confirmation votes than those of my Republican predecessor.""",6/4/2013,speech,Louis Jacobson,6/7/2013,https://www.politifact.com/factchecks/2013/jun/07/barack-obama/barack-obama-says-his-judicial-nominees-have-faced/
mostly-false,Donald Trump,"Election officials are ""sending 80 million ballots all over the country. Eighty million ballots, non-requested. I call them ‘unsolicited ballots.’""",9/7/2020,news,Amy Sherman,9/10/2020,https://www.politifact.com/factchecks/2020/sep/10/donald-trump/trumps-misleading-claim-about-unsolicited-mail-bal/
pants-fire,Donald Trump,"""We have a fire marshal that said, 'Oh we can't allow more people’ ...  And the reason they won't let them in is because they don't know what the hell they're doing.""",7/29/2016,speech,Alan Gathright,8/3/2016,https://www.politifact.com/factchecks/2016/aug/03/donald-trump/trump-falsely-accuses-colorado-fire-marshal-incomp/
half-true,Ted Cruz,"Says Marco Rubio ""went on Univision, and in Spanish he promised that he would not on the first day in office rescind President Obama's illegal executive action.""",2/15/2016,news,Amy Sherman,2/17/2016,https://www.politifact.com/factchecks/2016/feb/17/ted-cruz/did-marco-rubio-say-spanish-univision-he-would-not/
half-true,Joe Biden,"""You’re not going to get COVID if you have these vaccinations.""",7/21/2021,television,Amy Sherman,7/22/2021,https://www.politifact.com/factchecks/2021/jul/22/joe-biden/biden-exaggerates-efficacy-covid-19-vaccines/
TRUE,Barack Obama,"""Our businesses have created jobs every single month since (Obamacare) became law.""",1/12/2016,speech,Lauren Carroll,1/12/2016,https://www.politifact.com/factchecks/2016/jan/13/barack-obama/business-has-created-jobs-every-month-obamacare-be/
half-true,Mike Pence,"""In the state of Indiana, I’ve signed more than $3.5 billion in tax relief.""",10/3/2016,speech,Louis Jacobson,10/4/2016,https://www.politifact.com/factchecks/2016/oct/05/mike-pence/mike-pence-leaves-out-some-details-his-tax-cut/
TRUE,Barack Obama,"Says Mitt Romney had millions in the Cayman Islands, a tax haven.",7/14/2012,advertisement,Molly Moorhead,7/17/2012,https://www.politifact.com/factchecks/2012/jul/17/barack-obama/obama-ad-says-romney-stashed-money-cayman-islands/
mostly-true,John McCain,"""In state after state, polls make clear that the American public understands the Kelo ruling is a disaster.""",8/6/2007,other,Miranda Blue,8/30/2007,https://www.politifact.com/factchecks/2007/aug/30/john-mccain/the-ruling-was-unpopular-but-some-polls-unreliable/
mostly-true,Joe Biden,"""The current school psychologist to student ratio in this country is roughly 1,400 to 1, while experts say it should be at most 700 to 1.""",5/28/2019,speech,Shefali Luthra,6/5/2019,https://www.politifact.com/factchecks/2019/jun/05/joe-biden/biden-highlights-nations-lack-school-psychologists/
half-true,Elizabeth Warren,"""70% of the pollution of the carbon that we're throwing into the air comes from three industries.""",9/4/2019,television,Jon Greenberg,9/6/2019,https://www.politifact.com/factchecks/2019/sep/06/elizabeth-warren/elizabeth-warren-blamed-3-industries-70-greenhouse/
mostly-true,Barack Obama,"""McCain used to buck his party on immigration by fighting for comprehensive reform. . . . But when he was running for his party's nomination, he . . . said that he wouldn't even support his own legislation if it came up for a vote.""",7/8/2008,speech,Adriel Bettelheim,7/16/2008,https://www.politifact.com/factchecks/2008/jul/16/barack-obama/backtracking-on-the-path-to-citizenship/
mostly-false,Donald Trump,"In 2000, ""I wrote about Osama bin Laden, ‘We’ve got to take him out.’""",12/2/2015,speech,Warren Fiske,12/11/2015,https://www.politifact.com/factchecks/2015/dec/11/donald-trump/much-hype-trumps-claim-he-called-rubbing-out-bin-l/
FALSE,Donald Trump,"""All pipelines that are coming into this country from now on has to be American steel.""",4/18/2017,news,Tom Kertscher,4/20/2017,https://www.politifact.com/factchecks/2017/apr/20/donald-trump/while-mentioning-keystone-xl-donald-trump-errs-say/
mostly-false,Donald Trump,"""Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.""",6/21/2016,social_media,Louis Jacobson,6/28/2016,https://www.politifact.com/factchecks/2016/jun/28/donald-trump/checking-donald-trump-hillary-clintons-role-growin/
half-true,Barack Obama,"The ""rate of uninsured Americans (is) 8.8 percent.""",3/23/2016,blog,Louis Jacobson,4/5/2016,https://www.politifact.com/factchecks/2016/apr/05/barack-obama/barack-obama-jumps-gun-us-uninsured-rate-then-reve/
FALSE,Donald Trump,"""No administration has accomplished more in the first 90 days.""",4/18/2017,speech,Louis Jacobson,4/24/2017,https://www.politifact.com/factchecks/2017/apr/24/donald-trump/how-do-donald-trumps-first-100-days-rate-historica/
half-true,Bernie Sanders,"Raising the federal minimum wage to $15 ""would give more than 40 million low-wage workers a raise, more than 25 percent of the U.S. workforce.""",2/26/2019,social_media,Louis Jacobson,3/1/2019,https://www.politifact.com/factchecks/2019/mar/01/bernie-sanders/fact-checking-bernie-sanders-15-minimum-wage/
mostly-true,Barack Obama,"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago.""",8/21/2008,other,Angie Drobnic Holan,8/24/2008,https://www.politifact.com/factchecks/2008/aug/24/barack-obama/more-like-one-year-ago/
mostly-true,Donald Trump,"""Household incomes are down more than $4,000 since the year 2000.""",7/21/2016,speech,Louis Jacobson,7/21/2016,https://www.politifact.com/factchecks/2016/jul/22/donald-trump/donald-trump-largely-right-household-incomes-are-d/
FALSE,Donald Trump,"A ""catch and release"" immigration policy ""is a Democrat rule, Sherrod Brown, this is a Democrat rule.""",5/5/2018,speech,Amy Sherman,5/11/2018,https://www.politifact.com/factchecks/2018/may/11/donald-trump/ohio-trump-misleads-blaming-democrats-catch-and-re/
mostly-false,Ted Cruz,"""Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.""",3/11/2015,news,W. Gardner Selby,3/13/2015,https://www.politifact.com/factchecks/2015/mar/13/ted-cruz/ted-cruz-says-iran-annually-has-death-america-holi/
mostly-true,Marco Rubio,"""The reason we have a national debt is not because of defense spending. What is driving our long-term debt are Medicare and Social Security programs.""",11/20/2013,speech,Amy Sherman,11/22/2013,https://www.politifact.com/factchecks/2013/nov/22/marco-rubio/medicare-and-social-security-not-defense-are-drivi/
FALSE,Donald Trump,"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",11/29/2017,speech,Louis Jacobson,11/30/2017,https://www.politifact.com/factchecks/2017/nov/30/donald-trump/will-gop-tax-bill-cost-donald-trump-fortune-no/
FALSE,Barack Obama,"When President Franklin D. Roosevelt started Social Security, ""it only affected widows and orphans,"" and when Medicare began, ""it was a small program.""",12/7/2010,news,Louis Jacobson,12/8/2010,https://www.politifact.com/factchecks/2010/dec/08/barack-obama/barack-obama-description-how-social-security-medic/
FALSE,Donald Trump,"""California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amount of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.""",8/5/2018,social_media,Chris Nichols,8/6/2018,https://www.politifact.com/factchecks/2018/aug/06/donald-trump/california-wildfires-made-worse-hot-dry-conditions/
mostly-false,Joe Biden,"""A Black man invented the light bulb, not a white guy named Edison.""",9/3/2020,meeting,Eric Litke,9/4/2020,https://www.politifact.com/factchecks/2020/sep/04/joe-biden/making-point-overlooked-black-history-biden-misses/
pants-fire,Donald Trump,"""Anybody that wants a test (for the coronavirus) can get a test.""",3/6/2020,news,Miriam Valverde,3/11/2020,https://www.politifact.com/factchecks/2020/mar/11/donald-trump/donald-trumps-wrong-claim-anybody-can-get-tested-c/
mostly-true,Barack Obama,"""Medicare and Medicaid are the single biggest drivers of the federal deficit and the federal debt by a huge margin.""",6/24/2009,speech,Angie Drobnic Holan,6/25/2009,https://www.politifact.com/factchecks/2009/jun/25/barack-obama/obama-says-medicare-and-medicaid-are-largest-defic/
FALSE,Donald Trump,"Says Ohio Gov. John Kasich ""got lucky with a thing called fracking,"" which ""is why Ohio is doing well.""",10/28/2015,speech,Linda Qiu,11/2/2015,https://www.politifact.com/factchecks/2015/nov/02/donald-trump/donald-trumps-fracked-claim-shales-economic-impact/
mostly-true,Marco Rubio,"""#Broward elections department has a history of violating the law.""",11/8/2018,social_media,Amy Sherman,11/12/2018,https://www.politifact.com/factchecks/2018/nov/12/marco-rubio/marco-rubio-says-broward-elections-office-has-hist/
TRUE,Barack Obama,"""When Social Security was passed, there were all kinds of lawsuits,"" just as there have been in the legal battle over the new health care law.",12/13/2010,news,Louis Jacobson,12/15/2010,https://www.politifact.com/factchecks/2010/dec/15/barack-obama/barack-obama-compares-legal-battle-over-health-car/
mostly-false,Donald Trump,"Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",11/26/2017,social_media,John Kruzel,11/28/2017,https://www.politifact.com/factchecks/2017/nov/28/donald-trump/donald-trump-falsely-claims-doug-jones-wants-raise/
FALSE,Donald Trump,"""The $5 billion website for Obamacare … never worked. Still doesn't work.""",7/11/2015,speech,Louis Jacobson,7/14/2015,https://www.politifact.com/factchecks/2015/jul/14/donald-trump/donald-trump-says-5-billion-website-obamacare-neve/
half-true,Mike Pence,"Under Obamacare, ""American families have seen an increase in premiums of $5,000.""",1/4/2017,news,Louis Jacobson,1/9/2017,https://www.politifact.com/factchecks/2017/jan/09/mike-pence/mike-pence-says-under-obamacare-american-families-/
half-true,Barack Obama,"The ""pay-as-you-go law ... was a big reason why we had record surpluses in the 1990s.""",1/27/2010,speech,Bill Adair,1/27/2010,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-credits-pay-you-go-rule-producing-1990s-surp/
mostly-true,Barack Obama,"The president's budget ""would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.""",7/22/2010,speech,Louis Jacobson,7/29/2010,https://www.politifact.com/factchecks/2010/jul/29/barack-obama/barack-obama-says-his-budget-would-lower-non-defen/
half-true,Joe Biden,"""When I was vice president, violent crime fell 15% in this country. ... The murder rate now is up 26% across the nation this year under Donald Trump.""",8/31/2020,speech,Miriam Valverde,9/3/2020,https://www.politifact.com/factchecks/2020/sep/03/joe-biden/fact-checking-joe-bidens-comparison-violent-crime-/
FALSE,Donald Trump,"Says North Korea has ""agreed to denuclearization.""",4/22/2018,social_media,Jon Greenberg,4/22/2018,https://www.politifact.com/factchecks/2018/apr/22/donald-trump/trump-wrongly-says-north-korea-has-agreed-denuclea/
TRUE,Joe Biden,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",5/1/2019,speech,John Kruzel,5/8/2019,https://www.politifact.com/factchecks/2019/may/08/joe-biden/was-joe-biden-climate-change-pioneer-congress-hist/
half-true,Joe Biden,"""The Obama-Biden Administration did not conduct workplace raids—in fact, it ended them.""",9/12/2019,social_media,Miriam Valverde,9/18/2019,https://www.politifact.com/factchecks/2019/sep/18/joe-biden/biden-says-obama-ended-workplace-raids-immigrants/
TRUE,Nancy Pelosi,"""Seventy-six percent of the American people support us passing the DREAM Act … with citizenship and legalization as part of it all. … More than 60 percent of Republicans support that.""",9/18/2017,speech,Chris Nichols,9/19/2017,https://www.politifact.com/factchecks/2017/sep/19/nancy-pelosi/nancy-pelosi-claims-three-quarters-americans-suppo/
mostly-true,Gavin Newsom,"""Only Duterte’s Philippines and Trump’s United States of America have money bail.""",10/8/2018,speech,Louis Jacobson,10/9/2018,https://www.politifact.com/factchecks/2018/oct/09/gavin-newsom/are-us-philippines-only-two-countries-money-bail/
FALSE,Ted Cruz,"""About half of the presidents have been governors; half of them, senators.""",4/18/2015,speech,W. Gardner Selby,4/27/2015,https://www.politifact.com/factchecks/2015/apr/27/ted-cruz/ted-cruz-says-half-presidents-were-previously-gove/
mostly-true,Ted Cruz,"""It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.""",8/21/2015,news,W. Gardner Selby,9/4/2015,https://www.politifact.com/factchecks/2015/sep/04/ted-cruz/ted-cruz-says-its-always-been-law-babies-born-us-c/
FALSE,Donald Trump,"""The Democrat controlled House never even asked John Bolton to testify.""",1/27/2020,social_media,Bill McCarthy,1/27/2020,https://www.politifact.com/factchecks/2020/jan/27/donald-trump/trump-falsely-claims-house-democrats-never-asked-b/
FALSE,Joe Biden,"""You couldn’t buy a cannon when, in fact, the Second Amendment passed.""",4/11/2022,news,Yacob Reyes,4/12/2022,https://www.politifact.com/factchecks/2022/apr/12/joe-biden/joe-biden-recycles-false-claim-second-amendment-li/
FALSE,Donald Trump,"The coronavirus has seen a ""big surge in New Zealand. It's terrible. We don't want that.""",8/17/2020,speech,Bill McCarthy,8/18/2020,https://www.politifact.com/factchecks/2020/aug/18/donald-trump/we-dont-want-trump-says-new-zealand-after-country-/
mostly-false,Joe Biden,"Delaware has the ""eighth-largest black population in the country""",12/8/2019,news,Amy Sherman,12/16/2019,https://www.politifact.com/factchecks/2019/dec/16/joe-biden/biden-misstates-delawares-black-population/
FALSE,Ted Cruz,"""Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.""",7/12/2014,other,W. Gardner Selby,5/20/2015,https://www.politifact.com/factchecks/2015/may/20/ted-cruz/ted-cruz-americans-spend-500-billion-complying-tax/
mostly-false,Donald Trump,"""I've gotten rid of the Johnson Amendment … I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldn’t speak politically before, now you can.""",7/12/2017,news,Miriam Valverde,7/18/2017,https://www.politifact.com/factchecks/2017/jul/18/donald-trump/trump-claims-he-got-rid-johnson-amendment-true/
FALSE,John McCain,"In 1992, Barack Obama directed ""Project Vote - an arm of ACORN that also encouraged voter registration.""",10/10/2008,campaign,Angie Drobnic Holan,10/17/2008,https://www.politifact.com/factchecks/2008/oct/17/john-mccain/project-vote-not-an-arm-of-acorn/
FALSE,Donald Trump,"Said Dianne Feinstein said ""there is no collusion"" between the Trump campaign and Russia.",12/28/2017,news,Chris Nichols,1/2/2018,https://www.politifact.com/factchecks/2018/jan/02/donald-trump/trumps-false-claim-dianne-feinstein-said-there-no-/
mostly-true,Bernie Sanders,"""The largest U.S. companies would owe $620 billion in U.S. taxes on the cash they store in tax havens.""",4/6/2016,social_media,Jon Greenberg,4/11/2016,https://www.politifact.com/factchecks/2016/apr/11/bernie-sanders/sanders-us-multinationals-would-owe-620-billion-ov/
mostly-true,Barack Obama,"""I lowered taxes over the last two years.""",2/6/2011,news,Angie Drobnic Holan,2/7/2011,https://www.politifact.com/factchecks/2011/feb/07/barack-obama/barack-obama-said-he-lowered-taxes-over-past-two-y/
half-true,Barack Obama,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s.""",5/7/2009,speech,Bill Adair,5/7/2009,https://www.politifact.com/factchecks/2009/may/07/barack-obama/obama-exaggerates-role-pay-you-go-balancing-federa/
TRUE,Bernie Sanders,"The United States spends ""almost three times per capita what they spend in the U.K."" on health care and ""50 percent more than they pay in France.""",12/19/2015,speech,Jon Greenberg,12/20/2015,https://www.politifact.com/factchecks/2015/dec/20/bernie-sanders/fact-checking-bernie-sanders-claim-us-spends-three/
mostly-true,Elizabeth Warren,"Says Donald Trump's position is ""to roll back all"" of the financial regulations passed after the financial crisis.",6/28/2016,news,Adam Thorp,7/5/2016,https://www.politifact.com/factchecks/2016/jul/05/elizabeth-warren/warren-says-trump-no-fan-post-crisis-wall-street-r/
FALSE,Joe Biden,Says he was the first person to call for invoking the Defense Production Act.,9/2/2020,speech,Louis Jacobson,9/4/2020,https://www.politifact.com/factchecks/2020/sep/04/joe-biden/joe-biden-wrong-about-how-early-he-called-invoke-d/
FALSE,Joe Biden,"""When President Biden took office … there was no vaccine available.""",5/12/2022,social_media,Louis Jacobson,5/16/2022,https://www.politifact.com/factchecks/2022/may/16/joe-biden/white-house-errs-vaccine-availability-then-correct/
mostly-false,Donald Trump,"Says Beto O’Rourke ""voted to shield MS-13 gang members from deportation.""",10/22/2018,speech,W. Gardner Selby,10/25/2018,https://www.politifact.com/factchecks/2018/oct/25/donald-trump/mostly-false-donald-trump-claim-beto-orourke-voted/
mostly-true,Barack Obama,"Barack Obama ""passed laws moving people from welfare to work.""",6/19/2008,advertisement,Angie Drobnic Holan,6/23/2008,https://www.politifact.com/factchecks/2008/jun/23/barack-obama/obama-co-sponsored-illinois-welfare-reform/
mostly-true,Bernie Sanders,"""I remain one of the poorer members of the United States Senate.""",4/14/2016,speech,Louis Jacobson,4/14/2016,https://www.politifact.com/factchecks/2016/apr/15/bernie-sanders/bernie-sanders-says-hes-one-poorer-members-united-/
TRUE,John McCain,"""One man sacrificed for his country. One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth. One man stands up to the special interests.""",2/6/2008,advertisement,Wes Allison,2/7/2008,https://www.politifact.com/factchecks/2008/feb/07/john-mccain/one-man-found-his-winning-message/
half-true,Donald Trump,"""Our companies are moving into Mexico more than almost any other place right now.""",8/19/2015,news,Linda Qiu,8/27/2015,https://www.politifact.com/factchecks/2015/aug/27/donald-trump/trump-says-us-companies-moving-mexico-more-almost-/
half-true,Donald Trump,"""Companies are moving back, creating job growth the likes of which our country has not seen in a very long time.""",9/19/2017,speech,Louis Jacobson,9/20/2017,https://www.politifact.com/factchecks/2017/sep/20/donald-trump/how-strong-job-growth-been-trumps-watch/
TRUE,Donald Trump,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",4/12/2019,social_media,Jill Terreri Ramos,4/20/2019,https://www.politifact.com/factchecks/2019/apr/20/donald-trump/trump-calls-out-ny-dems-vote-expansion-military-be/
TRUE,Barack Obama,"The federal tax code has ""loopholes that are giving incentives for companies that are shipping jobs overseas.""",10/3/2012,speech,Jon Greenberg,10/8/2012,https://www.politifact.com/factchecks/2012/oct/08/barack-obama/obama-says-tax-code-rewards-firms-shifting-jobs-ov/
FALSE,Donald Trump,"""As Secretary of State, Hillary Clinton laundered money to Bill Clinton through Laureate Education, while Bill Clinton was an honorary chairman of the group.""",6/21/2016,email,Joseph Cariz,7/1/2016,https://www.politifact.com/factchecks/2016/jul/01/donald-trump/did-hillary-clinton-launder-millions-dollars-while/
pants-fire,Donald Trump,"Says 19,000 text messages exchanged between former FBI officials that were ""purposely and illegally deleted ... would have explained (the special counsel investigation) hoax.""",12/18/2018,social_media,John Kruzel,12/19/2018,https://www.politifact.com/factchecks/2018/dec/19/donald-trump/no-evidence-fbi-officials-texts-deliberately-erase/
mostly-false,Donald Trump,"The Obama administration gave Iran ""$400 million in ransom payment cash.""",8/21/2016,speech,Lauren Carroll,8/24/2016,https://www.politifact.com/factchecks/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/
FALSE,Donald Trump,"On the Iraq war, ""I said it loud and clear, 'You'll destabilize the Middle East.' """,2/13/2016,speech,Lauren Carroll,2/13/2016,https://www.politifact.com/factchecks/2016/feb/14/donald-trump/donald-trump-says-his-early-opposition-iraq-war-wa/
FALSE,Donald Trump,"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) ""announced five car companies are coming to Michigan.""",9/10/2020,speech,Jon Greenberg,9/11/2020,https://www.politifact.com/factchecks/2020/sep/11/donald-trump/trumps-michigan-car-industry-claims-veer-course/
half-true,Donald Trump,"""Chrysler is leaving Mexico and moving back to Michigan.""",1/16/2018,speech,Jon Greenberg,1/18/2018,https://www.politifact.com/factchecks/2018/jan/18/donald-trump/trump-said-chrysler-leaving-mexico-it-isnt/
pants-fire,Donald Trump,"""In certain swing states, there were more votes than people who voted, and in big numbers.""",11/22/2020,social_media,Jon Greenberg,11/23/2020,https://www.politifact.com/factchecks/2020/nov/23/donald-trump/no-there-have-not-been-more-votes-people-who-voted/
mostly-true,Marco Rubio,"Says ""Marco Rubio wrote and passed bipartisan legislation allowing the VA to fire negligent workers.""",8/12/2016,campaign,Allison Graves,8/17/2016,https://www.politifact.com/factchecks/2016/aug/17/marco-rubio/rubio-says-he-wrote-passed-veteran-affairs-bill/
